,Campaign name,Ad set name,Platform,Results,CTR (all),Result rate,Amount spent (INR),Cost per result,Frequency,"CPM (cost per 1,000 impressions)",Impressions,Clicks (all),Ad Format,Ad Headline
0,CV - Franchise Lead Generation - Phase II - 3 Nov,IT Professionals,facebook,66.0,2.04823359,0.20328333384668,3581.63,54.267121212121,2 to 3,110.31601318,32467,665,Image,Minimum Investment & Maximum Profit
1,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,facebook,38.0,1.61418823,0.13162908309952,2243.26,59.033157894736995,3 to 4,77.70480446,28869,466,Image,Partner with us today!
2,CV - Franchise Lead Generation - Phase II - 3 Nov,Business Owners,facebook,39.0,2.08294846,0.18012192869019003,2564.8621062695,65.765695032552,2 to 3,118.45843831,21652,451,Image,Minimum Investment & Maximum Profit
3,CV - Franchise Lead Generation - Phase II - 3 Nov,Business Owners,facebook,27.0,2.07312671,0.13923985354029997,2321.7,85.98888888888901,2 to 3,119.73080295,19391,402,Video,No. 1 Franchise Opportunity
4,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,facebook,50.0,3.07918659,0.26272923125427,2037.96,40.7592,2 to 3,107.08633283,19031,586,Image,Minimum Investment & Maximum Profit
5,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,facebook,49.0,3.32231229,0.26130546075085,2157.24,44.025306122448995,2 to 3,115.04052901,18752,623,Image,Minimum Investment & Maximum Profit
6,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,facebook,30.0,4.23171461,0.19929582143094,1839.02,61.300666666667006,3 to 4,122.16966718,15053,637,Video,Own a Chicken Store Today
7,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,facebook,26.0,2.51844831,0.17602058086792,1627.01,62.577307692308,2 to 3,110.14894049,14771,372,Image,No. 1 Franchise Opportunity
8,CV - Franchise Lead Generation - Phase II - 3 Nov,Business Owners,facebook,24.0,1.93172239,0.16858668165215002,1584.62,66.025833333333,1 to 2,111.31076145,14236,275,Image,No. 1 Franchise Opportunity
9,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,instagram,11.0,0.82878799,0.077920238010909,1234.49,112.22636363636002,2 to 3,87.44704966,14117,117,Image,No. 1 Franchise Opportunity
10,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,facebook,21.0,2.73531113,0.17353937691100002,1282.95,61.092857142857,2 to 3,106.02016362,12101,331,Image,60+ Franchise Stores across Maharashtra
11,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,instagram,22.0,0.97467583,0.19145418153337,1411.96,64.18,2 to 3,122.87529371,11491,112,Image,Partner with us today!
12,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,instagram,24.0,1.30121816,0.22148394241417002,1389.39,57.89125,1 to 2,128.21982281,10836,141,Image,60+ Franchise Stores across Maharashtra
13,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,facebook,26.0,2.51434034,0.24856596558317,1089.35,41.898076923077,2 to 3,104.14435946,10460,263,Image,Minimum Investment & Maximum Profit
14,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,facebook,10.0,1.36378053,0.10571942065757,705.46,70.546,1 to 2,74.5808225,9459,129,Image,60+ Franchise Stores across Maharashtra
15,CV - Franchise Lead Generation - Phase II - 3 Nov,Business Owners,facebook,24.0,2.83051835,0.27955736750146004,1579.77,65.82375,1 to 2,184.01514269,8585,243,Image,60+ Franchise Stores across Maharashtra
16,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,instagram,27.0,1.64708887,0.34473953013278996,1024.08,37.928888888889,1 to 2,130.75587334,7832,129,Image,Minimum Investment & Maximum Profit
17,CV - Franchise Lead Generation - Phase II - 3 Nov,IT Professionals,facebook,7.0,0.9658725,0.090148100450741,893.27,127.61,1 to 2,115.03799099,7765,75,Image,60+ Franchise Stores across Maharashtra
18,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,facebook,9.0,2.58984432,0.13094718463553,704.33,78.258888888889,1 to 2,102.47781173,6873,178,Image,No. 1 Franchise Opportunity
19,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,instagram,13.0,0.98587404,0.19128899352560003,632.01,48.616153846154006,1 to 2,92.99735138,6796,67,Image,Own a Chicken Store Today
20,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,facebook,8.0,1.64816683,0.13454423141608,470.41,58.80125,1 to 2,79.11368988,5946,98,Image,Minimum Investment & Maximum Profit
21,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,facebook,16.0,3.4463894999999996,0.29175784099198,551.82,34.48875,1 to 2,100.62363239,5484,189,Image,No. 1 Franchise Opportunity
22,CV - Franchise Lead Generation - Phase II - 3 Nov,IT Professionals,facebook,13.0,1.64626425,0.27437737441959004,827.96,63.689230769231,1 to 2,174.74883917,4738,78,Video,No. 1 Franchise Opportunity
23,CV - Franchise Lead Generation - Phase II - 3 Nov,Business Owners,instagram,11.0,1.23603518,0.26146898027098,407.46,37.041818181818,1 to 2,96.85286427,4207,52,Image,60+ Franchise Stores across Maharashtra
24,CV - Franchise Lead Generation - Phase II - 3 Nov,Business Owners,facebook,11.0,2.65957447,0.26595744680851,671.92,61.083636363635996,1 to 2,162.45647969,4136,110,Image,Own a Chicken Store Today
25,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,instagram,6.0,0.9215303,0.16755096341804002,462.03,77.005,1 to 2,129.02261938,3581,33,Image,60+ Franchise Stores across Maharashtra
26,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,facebook,5.0,3.12677658,0.14212620807277,602.11,120.42200000000001,1 to 2,171.15122229,3518,110,Image,60+ Franchise Stores across Maharashtra
27,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,instagram,8.0,1.17889773,0.23577954612437,405.87,50.73375,1 to 2,119.61980548,3393,40,Image,No. 1 Franchise Opportunity
28,CV - Franchise Lead Generation - Phase II - 3 Nov,Business Owners,instagram,4.0,0.67226891,0.13445378151261,353.27789373047005,88.319473432617,1 to 2,118.74887184,2975,20,Image,Minimum Investment & Maximum Profit
29,CV - Franchise Lead Generation - Phase II - 3 Nov,IT Professionals,facebook,10.0,1.75368673,0.39856516540454,497.07,49.707,1 to 2,198.11478677,2509,44,Image,Own a Chicken Store Today
30,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,facebook,2.0,1.5046767,0.08133387555916999,279.62,139.81,1 to 2,113.71289142,2459,37,Image,Own a Chicken Store Today
31,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,instagram,5.0,0.85298545,0.2508780732564,237.45,47.49,1 to 2,119.14199699,1993,17,Image,Minimum Investment & Maximum Profit
32,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,instagram,5.0,0.83507307,0.26096033402923,221.92,44.38399999999999,1 to 2,115.82463466,1916,16,Image,Minimum Investment & Maximum Profit
33,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,instagram,0.0,0.45792788,0.0,146.21,,1 to 2,83.69204350000001,1747,8,Video,Own a Chicken Store Today
34,CV - Franchise Lead Generation - Phase II - 3 Nov,IT Professionals,instagram,3.0,0.93567251,0.17543859649123003,212.74,70.913333333333,1 to 2,124.40935673,1710,16,Image,Minimum Investment & Maximum Profit
35,CV - Franchise Lead Generation - Phase II - 3 Nov,IT Professionals,facebook,1.0,0.78740157,0.06056935190793499,198.43,198.43,1 to 2,120.18776499,1651,13,Image,Partner with us today!
36,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,instagram,2.0,0.85470085,0.12210012210012,242.54,121.27,1 to 2,148.07081807,1638,14,Image,Own a Chicken Store Today
37,CV - Franchise Lead Generation - Phase II - 3 Nov,Business Owners,instagram,2.0,0.84801044,0.13046314416177002,145.06,72.53,1 to 2,94.62491846,1533,13,Image,Own a Chicken Store Today
38,CV - Franchise Lead Generation - Phase II - 3 Nov,Housewives,facebook,4.0,2.50696379,0.27855153203343,237.22,59.305,2 to 3,165.19498607,1436,36,Image,No. 1 Franchise Opportunity
39,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,instagram,1.0,0.44603033,0.089206066012489,151.71,151.71,1 to 2,135.33452275,1121,5,Image,Minimum Investment & Maximum Profit
40,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,instagram,2.0,1.12107623,0.22421524663677,98.7,49.35,1 to 2,110.65022422,892,10,Image,60+ Franchise Stores across Maharashtra
41,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,facebook,2.0,4.80349345,0.29112081513828003,97.01,48.505,1 to 2,141.20815138,687,33,Image,Own a Chicken Store Today
42,CV - Franchise Lead Generation - Phase II - 3 Nov,IT Professionals,instagram,2.0,1.3029316,0.3257328990228,64.3,32.15,1 to 2,104.72312704,614,8,Image,Own a Chicken Store Today
43,CV - Franchise Lead Generation - Phase II - 3 Nov,Business Owners,instagram,1.0,1.12570356,0.18761726078799,55.58,55.58,1 to 2,104.27767355,533,6,Image,No. 1 Franchise Opportunity
44,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,instagram,0.0,0.20080321,0.0,55.27,,1 to 2,110.98393574,498,1,Image,No. 1 Franchise Opportunity
45,CV - Franchise Lead Generation - Phase II - 3 Nov,Housewives,facebook,2.0,2.39651416,0.43572984749454996,79.97,39.985,1 to 2,174.22657952,459,11,Image,Minimum Investment & Maximum Profit
46,CV - Franchise Lead Generation - Phase II - 3 Nov,Business Owners,instagram,0.0,0.26385224,0.0,33.04,,1 to 2,87.176781,379,1,Video,No. 1 Franchise Opportunity
47,CV - Franchise Lead Generation - Phase II - 3 Nov,IT Professionals,instagram,1.0,1.66666667,0.27777777777778,52.55,52.55,1 to 2,145.97222222,360,6,Image,60+ Franchise Stores across Maharashtra
48,CV - Franchise Lead Generation - Phase II - 3 Nov,Housewives,facebook,2.0,3.71621622,0.67567567567568,59.0,29.5,1 to 2,199.32432432,296,11,Image,60+ Franchise Stores across Maharashtra
49,CV - Franchise Lead Generation - Phase II - 3 Nov,Housewives,instagram,0.0,0.34722222,0.0,16.08,,1 to 2,55.83333333,288,1,Image,No. 1 Franchise Opportunity
50,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,facebook,0.0,1.43369176,0.0,46.5,,1 to 2,166.66666667,279,4,Image,60+ Franchise Stores across Maharashtra
51,CV - Franchise Lead Generation - Phase II - 3 Nov,IT Professionals,instagram,0.0,0.0,0.0,26.56,,1 to 2,150.90909091,176,0,Image,Partner with us today!
52,CV - Franchise Lead Generation - Phase II - 3 Nov,IT Professionals,instagram,0.0,0.60606061,0.0,18.49,,1 to 2,112.06060606,165,1,Video,No. 1 Franchise Opportunity
53,CV - Franchise Lead Generation - Phase II - 3 Nov,Housewives,facebook,0.0,0.0,0.0,30.64,,1 to 2,215.77464789,142,0,Video,No. 1 Franchise Opportunity
54,CV - Franchise Lead Generation - Phase II - 3 Nov,Housewives,facebook,0.0,2.23880597,0.0,21.98,,1 to 2,164.02985075,134,3,Image,No. 1 Franchise Opportunity
55,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,facebook,0.0,1.31578947,0.0,6.09,,1 to 2,80.13157895,76,1,Image,Own a Chicken Store Today
56,CV - Franchise Lead Generation - Phase II - 3 Nov,Housewives,instagram,0.0,0.0,0.0,2.82,,1 to 2,82.94117647,34,0,Image,Minimum Investment & Maximum Profit
57,CV - Franchise Lead Generation - Phase II - 3 Nov,Housewives,instagram,0.0,0.0,0.0,2.77,,1 to 2,106.53846154,26,0,Video,No. 1 Franchise Opportunity
58,CV - Franchise Lead Generation - Phase II - 3 Nov,Housewives,instagram,0.0,0.0,0.0,1.76,,1 to 2,76.52173913,23,0,Image,60+ Franchise Stores across Maharashtra
59,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,instagram,0.0,0.0,0.0,1.62,,1 to 2,101.25,16,0,Image,60+ Franchise Stores across Maharashtra
60,CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,instagram,0.0,0.0,0.0,1.22,,1 to 2,87.14285714,14,0,Image,Own a Chicken Store Today
61,CV - Franchise Lead Generation - Phase II - 3 Nov,Housewives,instagram,0.0,0.0,0.0,0.86,,1 to 2,61.42857143,14,0,Image,No. 1 Franchise Opportunity
